,0
359,0.85234375
360,0.8625
361,0.85390625
362,0.85625
363,0.85546875
364,0.85625
365,0.86171875
366,0.8546875
367,0.85625
368,0.85625
369,0.85625
370,0.859375
371,0.86015625
372,0.85703125
373,0.86015625
374,0.85625
375,0.865625
376,0.8546875
377,0.865625
378,0.85625
379,0.86484375
380,0.85703125
381,0.86328125
382,0.8546875
383,0.86328125
384,0.85625
385,0.8671875
386,0.8578125
387,0.86484375
388,0.85625
389,0.86484375
390,0.8578125
391,0.865625
392,0.8578125
393,0.86640625
394,0.8578125
395,0.8671875
396,0.859375
397,0.86640625
398,0.86171875
399,0.86875
400,0.86015625
401,0.8671875
402,0.859375
403,0.86796875
404,0.85703125
405,0.87265625
406,0.8546875
407,0.875
408,0.8515625
409,0.8734375
410,0.85546875
411,0.86953125
412,0.86953125
413,0.86328125
414,0.87109375
415,0.8578125
416,0.87265625
417,0.8625
418,0.86875
419,0.865625
420,0.86953125
421,0.86875
422,0.86796875
423,0.8640625
424,0.871875
425,0.8671875
426,0.8703125
427,0.8640625
428,0.8703125
429,0.86875
430,0.86953125
431,0.86484375
432,0.87421875
433,0.85625
434,0.8765625
435,0.853125
436,0.8796875
437,0.85546875
438,0.87421875
439,0.87421875
440,0.8640625
441,0.8765625
442,0.86796875
443,0.87421875
444,0.87578125
445,0.86484375
446,0.87578125
447,0.86796875
448,0.86640625
449,0.875
450,0.87109375
451,0.8734375
452,0.87265625
453,0.86484375
454,0.8734375
455,0.8734375
456,0.875
457,0.875
458,0.86875
459,0.87890625
460,0.875
461,0.87578125
462,0.8765625
463,0.87109375
464,0.875
465,0.87734375
466,0.8765625
467,0.8796875
468,0.8734375
469,0.87734375
470,0.875
471,0.87734375
472,0.87890625
473,0.8765625
474,0.88046875
475,0.87578125
476,0.88203125
477,0.87578125
478,0.87890625
479,0.87734375
480,0.87734375
481,0.88046875
482,0.878125
483,0.8828125
484,0.87890625
485,0.88515625
486,0.88046875
487,0.88203125
488,0.88046875
489,0.88203125
490,0.88125
491,0.88203125
492,0.88359375
493,0.88203125
494,0.88046875
495,0.8828125
496,0.88125
497,0.8828125
498,0.8796875
499,0.884375
500,0.878125
501,0.884375
502,0.88125
